,summary,config,name
10,"{'epoch': 9, '_runtime': 365.3367943763733, 'test/recall': 0.7446808510638298, 'test/f1-score': 0.8333333333333334, 'test/precision': 0.945945945945946, 'train/epoch_acc': 0.8697788697788698, 'train/epoch_loss': 0.3086323318522451, '_step': 2059, '_wandb': {'runtime': 362}, '_timestamp': 1680689670.8310964, 'test/epoch_acc': 0.8444444444444444, 'test/epoch_loss': 0.3740654948684904, 'train/batch_loss': 0.5778521299362183}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.9, 'optimizer': 'adam', 'step_size': 5, 'batch_size': 4, 'learning_rate': 0.003}",celestial-sweep-17
11,"{'train/batch_loss': 0.004256190732121468, 'train/epoch_loss': 0.0053219743558098115, 'epoch': 9, 'test/epoch_acc': 0.9222222222222224, 'test/precision': 0.9069767441860463, 'test/epoch_loss': 0.18080708616309696, 'train/epoch_acc': 1, 'test/f1-score': 0.9176470588235294, '_step': 149, '_wandb': {'runtime': 337}, '_runtime': 340.39124369621277, '_timestamp': 1680689237.7951498, 'test/recall': 0.9285714285714286}","{'eps': 0.1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.9, 'optimizer': 'adam', 'step_size': 3, 'batch_size': 64, 'learning_rate': 0.01}",cosmic-sweep-15
12,"{'test/f1-score': 0.8705882352941177, 'test/epoch_loss': 0.23811448697621623, 'train/epoch_acc': 0.968058968058968, 'train/batch_loss': 0.21692615747451785, 'train/epoch_loss': 0.09628425111664636, 'test/recall': 0.8222222222222222, 'test/epoch_acc': 0.8777777777777778, 'test/precision': 0.925, '_step': 2059, 'epoch': 9, '_wandb': {'runtime': 356}, '_runtime': 359.0396990776062, '_timestamp': 1680688886.363035}","{'eps': 0.1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'adam', 'step_size': 3, 'batch_size': 4, 'learning_rate': 0.001}",stilted-sweep-14
13,"{'_wandb': {'runtime': 333}, '_runtime': 336.5640392303467, 'test/recall': 0.9, 'test/f1-score': 0.9278350515463918, 'test/epoch_acc': 0.9222222222222224, 'train/epoch_loss': 0.007631345846546077, '_step': 149, 'epoch': 9, 'test/epoch_loss': 0.16714997291564945, 'train/epoch_acc': 1, 'train/batch_loss': 0.007201554253697395, '_timestamp': 1680688517.0028613, 'test/precision': 0.9574468085106383}","{'eps': 0.1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.999, 'optimizer': 'sgd', 'step_size': 5, 'batch_size': 64, 'learning_rate': 0.01}",frosty-sweep-13
14,"{'_timestamp': 1680688162.2054858, 'test/recall': 0.8181818181818182, 'test/epoch_acc': 0.8777777777777778, 'train/batch_loss': 0.27152174711227417, 'train/epoch_acc': 0.9496314496314496, '_step': 529, 'epoch': 9, '_wandb': {'runtime': 328}, '_runtime': 331.98337984085083, 'test/f1-score': 0.8674698795180724, 'test/precision': 0.9230769230769232, 'test/epoch_loss': 0.32556109494633145, 'train/epoch_loss': 0.17368088453934877}","{'eps': 0.1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'adam', 'step_size': 3, 'batch_size': 16, 'learning_rate': 0.001}",young-sweep-12
15,"{'test/f1-score': 0.7311827956989247, 'train/epoch_acc': 0.7469287469287469, 'epoch': 9, '_wandb': {'runtime': 332}, '_timestamp': 1680687816.5057352, 'test/recall': 0.8292682926829268, 'test/epoch_acc': 0.7222222222222222, 'test/precision': 0.6538461538461539, 'test/epoch_loss': 0.5193446947468652, 'train/batch_loss': 0.3307788372039795, '_step': 1039, '_runtime': 335.6552822589874, 'train/epoch_loss': 0.5277571982775039}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'sgd', 'step_size': 5, 'batch_size': 8, 'learning_rate': 0.1}",sandy-sweep-11
16,"{'train/epoch_acc': 1, 'train/epoch_loss': 0.003708146820279612, 'epoch': 9, '_wandb': {'runtime': 334}, '_timestamp': 1680687470.9289024, 'test/f1-score': 0.853932584269663, 'test/precision': 0.8085106382978723, 'test/epoch_loss': 0.4616309046745301, '_step': 149, '_runtime': 336.80703043937683, 'test/recall': 0.9047619047619048, 'test/epoch_acc': 0.8555555555555556, 'train/batch_loss': 0.0030224076472222805}","{'eps': 0.1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.99, 'optimizer': 'sgd', 'step_size': 5, 'batch_size': 64, 'learning_rate': 0.1}",laced-sweep-10
17,"{'_step': 422, 'epoch': 7, '_runtime': 265.48077392578125, 'train/epoch_acc': 0.5331695331695332, 'train/batch_loss': 9.74098777770996, 'train/epoch_loss': 9.16968992828444, '_wandb': {'runtime': 265}, '_timestamp': 1680687113.1220188, 'test/recall': 0.08888888888888889, 'test/f1-score': 0.14035087719298245, 'test/epoch_acc': 0.45555555555555555, 'test/precision': 0.3333333333333333, 'test/epoch_loss': 11610.708938450283}","{'eps': 1e-08, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.9, 'optimizer': 'adam', 'step_size': 2, 'batch_size': 16, 'learning_rate': 0.1}",jumping-sweep-9
18,"{'_step': 529, '_runtime': 330.36346793174744, '_timestamp': 1680686834.80723, 'test/recall': 0.803921568627451, 'test/f1-score': 0.845360824742268, 'train/epoch_acc': 0.8955773955773956, 'train/epoch_loss': 0.3055295220024756, 'epoch': 9, '_wandb': {'runtime': 327}, 'test/epoch_acc': 0.8333333333333334, 'test/precision': 0.8913043478260869, 'test/epoch_loss': 0.3831123087141249, 'train/batch_loss': 0.34334877133369446}","{'eps': 1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.5, 'optimizer': 'sgd', 'step_size': 7, 'batch_size': 16, 'learning_rate': 0.0003}",dutiful-sweep-8
19,"{'epoch': 2, '_runtime': 99.40804982185364, '_timestamp': 1680686491.634724, 'test/recall': 1, 'test/epoch_acc': 0.45555555555555555, 'train/epoch_acc': 0.484029484029484, 'train/batch_loss': 'NaN', '_step': 157, '_wandb': {'runtime': 99}, 'test/f1-score': 0.6259541984732825, 'test/precision': 0.45555555555555555, 'test/epoch_loss': 6.554853016439314e+29, 'train/epoch_loss': 'NaN'}","{'eps': 1e-08, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'adam', 'step_size': 3, 'batch_size': 16, 'learning_rate': 0.1}",olive-sweep-7
20,"{'_timestamp': 1680686383.3591404, 'test/epoch_acc': 0.8666666666666667, 'test/precision': 0.851063829787234, 'train/epoch_loss': 0.3219767680771521, 'test/recall': 0.8888888888888888, 'test/f1-score': 0.8695652173913044, 'test/epoch_loss': 0.35141510632303025, 'train/epoch_acc': 0.9103194103194104, '_step': 279, 'epoch': 9, '_wandb': {'runtime': 334}, '_runtime': 337.17863941192627, 'train/batch_loss': 0.3707323968410492}","{'eps': 0.1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.9, 'optimizer': 'adam', 'step_size': 2, 'batch_size': 32, 'learning_rate': 0.001}",good-sweep-6
21,"{'train/batch_loss': 0.7027227878570557, 'epoch': 9, '_wandb': {'runtime': 342}, '_runtime': 344.80718994140625, 'test/recall': 0.6938775510204082, 'test/f1-score': 0.6601941747572815, 'train/epoch_acc': 0.5196560196560196, '_step': 149, '_timestamp': 1680686028.304971, 'test/epoch_acc': 0.6111111111111112, 'test/precision': 0.6296296296296297, 'test/epoch_loss': 0.6818753732575311, 'train/epoch_loss': 0.6907664721955246}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.9, 'optimizer': 'adam', 'step_size': 3, 'batch_size': 64, 'learning_rate': 0.0003}",summer-sweep-5
22,"{'train/batch_loss': 0.15035715699195862, 'train/epoch_loss': 0.10497688309859292, 'epoch': 9, '_wandb': {'runtime': 331}, '_runtime': 333.9663326740265, 'test/recall': 0.8717948717948718, 'test/epoch_acc': 0.9222222222222224, 'train/epoch_acc': 0.9864864864864864, '_step': 529, '_timestamp': 1680685671.7387648, 'test/f1-score': 0.9066666666666668, 'test/precision': 0.9444444444444444, 'test/epoch_loss': 0.22382020586066775}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.9, 'optimizer': 'sgd', 'step_size': 5, 'batch_size': 16, 'learning_rate': 0.001}",firm-sweep-4
23,"{'_timestamp': 1680685319.453976, 'test/recall': 0.925, 'epoch': 9, '_wandb': {'runtime': 333}, '_runtime': 335.79468297958374, 'test/precision': 0.4868421052631579, 'test/epoch_loss': 0.6597137530644734, 'train/epoch_acc': 0.5909090909090909, 'train/batch_loss': 0.652446985244751, 'train/epoch_loss': 0.6564877619028677, '_step': 149, 'test/f1-score': 0.6379310344827587, 'test/epoch_acc': 0.5333333333333333}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.999, 'optimizer': 'sgd', 'step_size': 3, 'batch_size': 64, 'learning_rate': 0.0001}",genial-sweep-3
24,"{'test/epoch_loss': 0.5467572536733415, 'train/batch_loss': 0.5583129525184631, '_wandb': {'runtime': 329}, 'test/recall': 0.9736842105263158, 'test/epoch_acc': 0.7444444444444445, '_timestamp': 1680684975.004809, 'test/f1-score': 0.7628865979381443, 'test/precision': 0.6271186440677966, 'train/epoch_acc': 0.7899262899262899, 'train/epoch_loss': 0.4703364581675143, '_step': 529, 'epoch': 9, '_runtime': 331.50625491142273}","{'eps': 1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.9, 'optimizer': 'sgd', 'step_size': 7, 'batch_size': 16, 'learning_rate': 0.1}",fine-sweep-2
25,"{'test/epoch_acc': 0.9, 'test/precision': 0.9069767441860463, 'train/epoch_acc': 0.9987714987714988, 'train/batch_loss': 0.005764181260019541, '_step': 529, '_runtime': 450.5545320510864, '_timestamp': 1680684633.811369, 'test/f1-score': 0.896551724137931, 'train/epoch_loss': 0.007131033717467008, 'epoch': 9, '_wandb': {'runtime': 447}, 'test/recall': 0.8863636363636364, 'test/epoch_loss': 0.30911533037821454}","{'eps': 1e-08, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.9, 'optimizer': 'sgd', 'step_size': 5, 'batch_size': 16, 'learning_rate': 0.01}",visionary-sweep-1
26,"{'_step': 239, '_wandb': {'runtime': 83}, '_runtime': 83.58446168899536, 'test/recall': 0.9047619047619048, 'test/precision': 0.8444444444444444, 'train/epoch_acc': 0.8931203931203932, 'train/batch_loss': 0.08615076541900635, 'train/epoch_loss': 0.2428556958016658, 'epoch': 1, '_timestamp': 1680629962.8990817, 'test/f1-score': 0.8735632183908046, 'test/epoch_acc': 0.8777777777777778, 'test/epoch_loss': 0.29840316110187104}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.9, 'optimizer': 'adam', 'step_size': 2, 'batch_size': 8, 'learning_rate': 0.1}",stoic-sweep-14
27,"{'test/epoch_loss': 0.20102048052681817, 'train/batch_loss': 0.10338585078716278, '_wandb': {'runtime': 347}, 'test/recall': 0.975, 'test/f1-score': 0.951219512195122, 'test/epoch_acc': 0.9555555555555556, 'test/precision': 0.9285714285714286, 'train/epoch_loss': 0.1163152276517718, '_step': 149, 'epoch': 9, '_runtime': 348.9410927295685, '_timestamp': 1680629872.8401277, 'train/epoch_acc': 0.9803439803439804}","{'eps': 0.1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'sgd', 'step_size': 2, 'batch_size': 64, 'learning_rate': 0.01}",rich-sweep-13
28,"{'train/epoch_acc': 0.5282555282555282, 'train/batch_loss': 82027960.0, 'train/epoch_loss': 60563307.6520902, 'epoch': 3, 'test/recall': 0.9111111111111112, 'test/f1-score': 0.6721311475409836, 'test/precision': 0.5324675324675324, 'test/epoch_acc': 0.5555555555555556, 'test/epoch_loss': 3.395405118153546e+20, '_step': 210, '_wandb': {'runtime': 135}, '_runtime': 132.22715950012207, '_timestamp': 1680629513.1781075}","{'eps': 1e-08, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'adam', 'step_size': 7, 'batch_size': 16, 'learning_rate': 0.003}",smooth-sweep-12
29,"{'_timestamp': 1680629374.0562296, 'test/epoch_acc': 0.6333333333333333, 'train/batch_loss': 0.5836847424507141, 'train/epoch_loss': 0.6072891213970044, '_step': 279, '_wandb': {'runtime': 326}, '_runtime': 327.2181556224823, 'test/recall': 0.8888888888888888, 'test/f1-score': 0.6597938144329897, 'test/precision': 0.5245901639344263, 'test/epoch_loss': 0.6240786300765143, 'train/epoch_acc': 0.7469287469287469, 'epoch': 9}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'sgd', 'step_size': 2, 'batch_size': 32, 'learning_rate': 0.0003}",resilient-sweep-11
30,"{'_step': 529, 'epoch': 9, '_runtime': 332.23273372650146, 'test/f1-score': 0.8958333333333334, 'test/epoch_acc': 0.888888888888889, 'test/precision': 0.9772727272727272, 'test/epoch_loss': 0.2657569663392173, 'train/batch_loss': 0.13025684654712677, 'train/epoch_loss': 0.12745249926751018, '_wandb': {'runtime': 330}, '_timestamp': 1680629038.456323, 'test/recall': 0.8269230769230769, 'train/epoch_acc': 0.9717444717444718}","{'eps': 1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.999, 'optimizer': 'sgd', 'step_size': 3, 'batch_size': 16, 'learning_rate': 0.001}",serene-sweep-10
31,"{'test/epoch_loss': 0.23338710864384968, 'train/epoch_loss': 0.2116023584907412, '_wandb': {'runtime': 334}, '_timestamp': 1680628699.1189623, 'test/precision': 0.972972972972973, 'test/recall': 0.8372093023255814, 'test/f1-score': 0.9, 'test/epoch_acc': 0.9111111111111112, 'train/epoch_acc': 0.9275184275184276, 'train/batch_loss': 0.11391787976026536, '_step': 1039, 'epoch': 9, '_runtime': 335.94198656082153}","{'eps': 1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'sgd', 'step_size': 7, 'batch_size': 8, 'learning_rate': 0.0003}",cool-sweep-9
32,"{'_step': 529, 'epoch': 9, '_timestamp': 1680628351.790065, 'test/f1-score': 0.7959183673469388, 'test/epoch_acc': 0.7777777777777778, 'test/epoch_loss': 0.5824494547314114, 'train/epoch_acc': 0.7702702702702703, '_wandb': {'runtime': 326}, '_runtime': 327.29265093803406, 'test/recall': 0.8863636363636364, 'test/precision': 0.7222222222222222, 'train/batch_loss': 0.5777762532234192, 'train/epoch_loss': 0.6034659886828805}","{'eps': 0.1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.999, 'optimizer': 'sgd', 'step_size': 2, 'batch_size': 16, 'learning_rate': 0.0001}",lilac-sweep-8
33,"{'_step': 149, '_wandb': {'runtime': 335}, '_timestamp': 1680628016.5942774, 'test/recall': 0.8048780487804879, 'test/f1-score': 0.717391304347826, 'train/epoch_loss': 0.618001790392311, 'train/batch_loss': 0.5935282111167908, 'epoch': 9, '_runtime': 337.11313247680664, 'test/epoch_acc': 0.7111111111111111, 'test/precision': 0.6470588235294118, 'test/epoch_loss': 0.6369305915302701, 'train/epoch_acc': 0.7199017199017199}","{'eps': 1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.999, 'optimizer': 'adam', 'step_size': 7, 'batch_size': 64, 'learning_rate': 0.001}",warm-sweep-7
34,"{'_step': 2059, 'test/f1-score': 0.6857142857142857, 'test/precision': 0.6, 'test/epoch_loss': 0.6619265423880683, 'train/batch_loss': 0.6662057638168335, 'epoch': 9, '_wandb': {'runtime': 354}, '_runtime': 355.7423675060272, '_timestamp': 1680627667.6215644, 'test/recall': 0.8, 'test/epoch_acc': 0.6333333333333333, 'train/epoch_acc': 0.6498771498771498, 'train/epoch_loss': 0.6663250732773353}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.999, 'optimizer': 'adam', 'step_size': 7, 'batch_size': 4, 'learning_rate': 0.0001}",giddy-sweep-6
35,"{'epoch': 9, '_runtime': 344.59358406066895, '_timestamp': 1680627305.434523, 'test/precision': 0.7407407407407407, 'train/batch_loss': 0.6531811356544495, 'train/epoch_loss': 0.6398702088093582, 'train/epoch_acc': 0.7125307125307125, '_step': 149, '_wandb': {'runtime': 343}, 'test/recall': 0.8163265306122449, 'test/f1-score': 0.7766990291262137, 'test/epoch_acc': 0.7444444444444445, 'test/epoch_loss': 0.6307997491624621}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'sgd', 'step_size': 7, 'batch_size': 64, 'learning_rate': 0.0001}",stellar-sweep-5
36,"{'test/recall': 0.8461538461538461, 'test/epoch_acc': 0.9222222222222224, 'test/precision': 0.9705882352941176, 'test/epoch_loss': 0.1906787835785912, 'train/epoch_acc': 0.9975429975429976, '_step': 1039, '_runtime': 335.76391553878784, '_timestamp': 1680626951.0603056, 'train/batch_loss': 0.0006497434806078672, 'train/epoch_loss': 0.02095988139033052, 'epoch': 9, '_wandb': {'runtime': 334}, 'test/f1-score': 0.9041095890410958}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.9, 'optimizer': 'sgd', 'step_size': 5, 'batch_size': 8, 'learning_rate': 0.003}",olive-sweep-4
37,"{'test/precision': 0.8222222222222222, 'test/epoch_loss': 0.27919367684258356, '_step': 149, 'epoch': 9, '_runtime': 333.64992809295654, 'test/recall': 0.925, 'test/f1-score': 0.8705882352941177, 'test/epoch_acc': 0.8777777777777778, '_wandb': {'runtime': 332}, '_timestamp': 1680626608.419389, 'train/epoch_acc': 0.984029484029484, 'train/batch_loss': 0.12675245106220245, 'train/epoch_loss': 0.11751884335528429}","{'eps': 1e-08, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.9, 'optimizer': 'sgd', 'step_size': 5, 'batch_size': 64, 'learning_rate': 0.003}",dazzling-sweep-3
38,"{'test/recall': 0.6842105263157895, 'test/precision': 0.5306122448979592, '_wandb': {'runtime': 336}, '_runtime': 337.19885444641113, '_timestamp': 1680626264.5954974, 'test/epoch_acc': 0.6111111111111112, 'test/epoch_loss': 0.6708752089076572, 'train/epoch_acc': 0.6547911547911548, 'train/batch_loss': 0.5270536541938782, 'train/epoch_loss': 0.6389284106085868, '_step': 1039, 'epoch': 9, 'test/f1-score': 0.5977011494252874}","{'eps': 1e-08, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.99, 'optimizer': 'adam', 'step_size': 3, 'batch_size': 8, 'learning_rate': 0.01}",kind-sweep-2
39,"{'test/f1-score': 0.853932584269663, 'test/epoch_loss': 0.38614972366227046, 'train/epoch_acc': 0.8746928746928747, 'train/epoch_loss': 0.3516608065117782, '_step': 529, 'epoch': 9, '_runtime': 337.9836483001709, 'test/recall': 0.8636363636363636, 'train/batch_loss': 0.3848239779472351, '_wandb': {'runtime': 337}, '_timestamp': 1680625919.9645753, 'test/epoch_acc': 0.8555555555555556, 'test/precision': 0.8444444444444444}","{'eps': 1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'adam', 'step_size': 5, 'batch_size': 16, 'learning_rate': 0.003}",morning-sweep-1
40,"{'_runtime': 347.9354045391083, '_timestamp': 1680624250.2654595, 'test/recall': 0.8653846153846154, 'test/epoch_loss': 0.25786760796585845, 'train/batch_loss': 0.05631007254123688, 'train/epoch_loss': 0.02368298517580857, '_step': 2059, 'epoch': 9, '_wandb': {'runtime': 346}, 'test/f1-score': 0.9, 'test/epoch_acc': 0.888888888888889, 'test/precision': 0.9375, 'train/epoch_acc': 0.9975429975429976}","{'eps': 1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.999, 'optimizer': 'adam', 'step_size': 2, 'batch_size': 4, 'learning_rate': 0.1}",valiant-sweep-23
41,"{'test/epoch_acc': 0.8444444444444444, 'test/epoch_loss': 0.490613665845659, 'train/epoch_acc': 0.8243243243243243, '_step': 1039, '_timestamp': 1680623895.362503, 'test/recall': 0.8936170212765957, 'test/f1-score': 0.8571428571428571, 'test/precision': 0.8235294117647058, 'train/batch_loss': 0.5639374256134033, 'train/epoch_loss': 0.48581602795996887, 'epoch': 9, '_wandb': {'runtime': 327}, '_runtime': 329.4802031517029}","{'eps': 1e-08, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.5, 'optimizer': 'sgd', 'step_size': 2, 'batch_size': 8, 'learning_rate': 0.0003}",earnest-sweep-22
